scene,path,key,ko_at_build
Main,Canvas/Dungeon/SafeArea/Main/Dungeons/Scroll View/Viewport/Content/Dungeon (3)/Des,dungeon.forgotten_crypt.desc,"잊혀진 자들의 원한이 서린 묘지
흑마법사들의 보물이 숨겨져 있다."
Main,Canvas/Dungeon/SafeArea/Main/Dungeons/Scroll View/Viewport/Content/Dungeon (3)/Title,dungeon.forgotten_crypt.name,망각의 지하묘지
Main,Canvas/Dungeon/SafeArea/Main/Dungeons/Scroll View/Viewport/Content/Dungeon/Btn/Text (TMP) (1),common.enter,입장
Main,Canvas/Dungeon/SafeArea/Main/Dungeons/Scroll View/Viewport/Content/Dungeon/ClearItem,dungeon.clear_reward,주요 보상
Main,Canvas/Dungeon/SafeArea/Main/Dungeons/Scroll View/Viewport/Content/Dungeon/Des,dungeon.forgotten_crypt.desc,"잊혀진 자들의 원한이 서린 묘지
흑마법사들의 보물이 숨겨져 있다."
Main,Canvas/Dungeon/SafeArea/Main/Dungeons/Scroll View/Viewport/Content/Dungeon/Title,dungeon.forgotten_crypt.name,망각의 지하묘지
Main,Canvas/Equipment/SafeArea/Character_Equipments/Character_Info/Chracter_Info/Horizontal/Text (TMP) (1),equip.combat_power,전투력
Main,Canvas/Equipment/SafeArea/Character_Equipments/Character_Info/Chracter_Info/InfoBtn/Text (TMP),equip.detail_info,상세 정보
Main,Canvas/Equipment/SafeArea/Character_Equipments/Character_Info/Chracter_Info/Stat(ATK)/Name,stat.attack_power,공격력
Main,Canvas/Equipment/SafeArea/Character_Equipments/Character_Info/Chracter_Info/Stat(CRC)/Name,stat.critical_chance,치명타 확률
Main,Canvas/Equipment/SafeArea/Character_Equipments/Character_Info/Chracter_Info/Stat(CRD)/Name,stat.critical_damage,치명타 피해
Main,Canvas/Equipment/SafeArea/Character_Equipments/Character_Info/Chracter_Info/Stat(DEF)/Name,stat.defense,방어력
Main,Canvas/Equipment/SafeArea/Character_Equipments/Character_Info/Chracter_Info/Stat(Drop)/Name,stat.rare_find,희귀 발견
Main,Canvas/Equipment/SafeArea/DECO/Horizontal/Title,equip.title,장비
Main,Canvas/Equipment/SafeArea/Inventory/Horizontal/Image (1)/Text (TMP),equip.tab.gear,장비
Main,Canvas/Equipment/SafeArea/Inventory/Horizontal/Image (2)/Text (TMP),equip.tab.consumable,소모품
Main,Canvas/Equipment/SafeArea/Inventory/Horizontal/Image (3)/Text (TMP),equip.tab.etc,기타
Main,Canvas/Equipment/SafeArea/Inventory/Info/Image/Text (TMP),common.grade,등급
Main,Canvas/Equipment/SafeArea/ItemInfo/Equipment/Text (TMP),equip.equip_btn,장착
Main,Canvas/Equipment/SafeArea/ItemInfo/Info/Horizontal/Image/Text (TMP),equip.rarity.hero,영웅
Main,Canvas/Equipment/SafeArea/ItemInfo/Info/Horizontal/Text (TMP),equip.item.hero_helmet,영웅의 투구
Main,Canvas/Equipment/SafeArea/ItemInfo/Info/Horizontal/Text (TMP) (1),stat.defense,방어력
Main,Canvas/Equipment/SafeArea/ItemInfo/Info/Scroll View/Viewport/Content/Horizontal (1)/Text (TMP) (1),stat.critical_chance,치명타 확률
Main,Canvas/Equipment/SafeArea/ItemInfo/Info/Scroll View/Viewport/Content/Horizontal (2)/Text (TMP) (1),stat.defense,방어력
Main,Canvas/Equipment/SafeArea/ItemInfo/Info/Scroll View/Viewport/Content/Horizontal (3)/Text (TMP) (1),stat.defense,방어력
Main,Canvas/Equipment/SafeArea/ItemInfo/Info/Scroll View/Viewport/Content/Horizontal (4)/Text (TMP) (1),stat.defense,방어력
Main,Canvas/Equipment/SafeArea/ItemInfo/Merge/Text (TMP),equip.merge_btn,합성
Main,Canvas/Equipment/SafeArea/ItemInfo/Upgrade/Text (TMP),equip.upgrade_btn,강화
Main,Canvas/Equipment/UserInfo/InfoPanel/DECO/Horizontal/Title,select.detail_stats,상세 능력치
Main,Canvas/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Attack/Grid/Stat (1)/Title,stat.critical_damage,치명타 피해
Main,Canvas/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Attack/Grid/Stat (2)/Title,stat.attack_speed,공격 속도
Main,Canvas/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Attack/Grid/Stat (3)/Title,stat.cooldown_reduction,재사용 대기시간 감소
Main,Canvas/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Attack/Grid/Stat (4)/Title,stat.skill_damage,스킬 피해
Main,Canvas/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Attack/Grid/Stat (5)/Title,stat.armor_penetration,방어구 관통
Main,Canvas/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Attack/Grid/Stat/Title,stat.critical_chance,치명타 확률
Main,Canvas/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Attack/Horizontal/Title,stat.group.offense,공격
Main,Canvas/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Defense/Deco,stat.cap_notice,상한 75%
Main,Canvas/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Defense/Horizontal/Title,stat.group.defense,저항
Main,Canvas/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Main/Grid/Stat (1)/Title,stat.defense,방어력
Main,Canvas/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Main/Grid/Stat (2)/Title,stat.max_health,최대 체력
Main,Canvas/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Main/Grid/Stat (3)/Title,stat.max_mana,최대 마나
Main,Canvas/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Main/Grid/Stat/Title,stat.attack_power,공격력
Main,Canvas/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Main/Horizontal/Title,stat.group.core,핵심
Main,Canvas/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Other/Grid/Stat (1)/Title,stat.gold_find,재화 발견
Main,Canvas/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Other/Grid/Stat (2)/Title,stat.movement_speed,이동 속도
Main,Canvas/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Other/Grid/Stat (3)/Title,stat.magic_find,아이템 발견
Main,Canvas/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Other/Grid/Stat/Title,stat.mana_regeneration,마나 재생
Main,Canvas/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Other/Horizontal/Title,stat.group.utility,자원 및 탐색
Main,Canvas/Mailbox/SafeArea/Window/ClaimAllBtn/Text,common.claim_all,모두 받기
Main,Canvas/Mailbox/SafeArea/Window/DECO/Horizontal/Title,mail.title,우편함
Main,Canvas/Mailbox/SafeArea/Window/Empty,mail.empty,받을 수 있는 우편이 없습니다.
Main,Canvas/Mailbox/SafeArea/Window/Notice,mail.notice,우편은 받은 뒤 7일이 지나면 자동으로 삭제됩니다.
Main,Canvas/Mailbox/SafeArea/Window/Scroll View/Viewport/Content/Mail_01/ClaimBtn/Text,common.claim,받기
Main,Canvas/Main/SafeArea/Top/Horizontal (1)/Book/Text (TMP) (1),main.top.book,도감
Main,Canvas/Main/SafeArea/Top/Horizontal (1)/Post/Text (TMP),main.top.mail,우편함
Main,Canvas/Main/SafeArea/Top/Horizontal (1)/Rank/Text (TMP) (3),main.top.rank,랭킹
Main,Canvas/Main/SafeArea/Top/Horizontal (1)/Setting/Text (TMP) (2),main.top.setting,설정
Main,Canvas/OfflineReward/SafeArea/Window/ClaimBtn/Text,offline.claim,보상 받기
Main,Canvas/OfflineReward/SafeArea/Window/DECO/Horizontal/Title,offline.title,오프라인 보상
Main,Canvas/OfflineReward/SafeArea/Window/Desc,offline.desc,자리를 비운 동안 동료들이 모아둔 전리품입니다.
Main,Canvas/OfflineReward/SafeArea/Window/DoubleBtn/Text,offline.double_claim,광고 보고 2배 받기
Main,Canvas/Ranking/SafeArea/Window/DECO/Horizontal/Title,ranking.title,랭킹
Main,Canvas/Ranking/SafeArea/Window/Tabs/Tab_0/Text,ranking.tab.combat_power,전투력
Main,Canvas/Ranking/SafeArea/Window/Tabs/Tab_1/Text,ranking.tab.stage,스테이지
Main,Canvas/Ranking/SafeArea/Window/Tabs/Tab_2/Text,ranking.tab.guild,길드
Main,Canvas/SafeArea/Bottom/Frame (1)/Name,main.nav.dungeon,던전
Main,Canvas/SafeArea/Bottom/Frame (2)/Name,main.nav.main,메인
Main,Canvas/SafeArea/Bottom/Frame (3)/Name,main.nav.skill,스킬
Main,Canvas/SafeArea/Bottom/Frame (4)/Name,main.nav.shop,상점
Main,Canvas/SafeArea/Bottom/Frame/Name,main.nav.equipment,장비
Main,Canvas/Settings/LanguagePopup/Window/CloseButton/Label,common.close,닫기
Main,Canvas/Settings/LanguagePopup/Window/Option_en/Label,language.en,English
Main,Canvas/Settings/LanguagePopup/Window/Option_ja/Label,language.ja,日本語
Main,Canvas/Settings/LanguagePopup/Window/Option_ko/Label,language.ko,한국어
Main,Canvas/Settings/LanguagePopup/Window/Title,settings.language_popup.title,언어 선택
Main,Canvas/Settings/SafeArea/Window/CloseButton/Text,common.close,닫기
Main,Canvas/Settings/SafeArea/Window/DECO/Horizontal/Title,settings.title,설정
Main,Canvas/Settings/SafeArea/Window/Desc,settings.desc,소리와 화면 효과를 조절합니다
Main,Canvas/Settings/SafeArea/Window/Row_Bgm/Label,settings.bgm,배경음악
Main,Canvas/Settings/SafeArea/Window/Row_Bgm/Mute/Label,common.on,켜짐
Main,Canvas/Settings/SafeArea/Window/Row_Language/Label,settings.language,언어
Main,Canvas/Settings/SafeArea/Window/Row_Language/Select/Label,language.ko,한국어
Main,Canvas/Settings/SafeArea/Window/Row_Sfx/Label,settings.sfx,효과음
Main,Canvas/Settings/SafeArea/Window/Row_Sfx/Mute/Label,common.on,켜짐
Main,Canvas/Settings/SafeArea/Window/Row_Shake/Label,settings.shake,화면 흔들림
Main,Canvas/Settings/SafeArea/Window/Row_Shake/Toggle/Label,common.on,켜짐
Main,Canvas/Shop/BackGround/SafeArea/DECO/Horizontal/Title,shop.title,상점
Main,Canvas/Shop/BackGround/SafeArea/DECO/ResestCount/Title,shop.daily_reset,일일 초기화
Main,Canvas/Shop/BackGround/SafeArea/Main/TOP/Image (1)/Text (TMP),shop.tab.summon,소환
Main,Canvas/Shop/BackGround/SafeArea/Main/TOP/Image (2)/Text (TMP),shop.tab.currency,재화
Main,Canvas/Shop/BackGround/SafeArea/Main/TOP/Image (3)/Text (TMP),shop.tab.growth,성장
Main,Canvas/Shop/BackGround/SafeArea/Main/TOP/Image/Text (TMP),shop.tab.special,특별
Main,Canvas/Skill/SafeArea/DECO/Horizontal/Title,skill.title,스킬
Main,Canvas/Skill/SafeArea/DECO/Reset/Text (TMP),common.reset,초기화
Main,Canvas/Skill/SafeArea/DECO/SkillPoint/Text (TMP),skill.point,스킬 포인트
Main,Canvas/Skill/SafeArea/Skills/Bottom/None/Des,skill.info_desc,"아이콘을 누르면 상세 효과와 레벨업 정보를
확인할 수 있습니다."
Main,Canvas/Skill/SafeArea/Skills/Bottom/None/SelectSkill,skill.select_prompt,스킬을 선택해 주세요
Main,Canvas/Skill/SafeArea/Skills/Bottom/None/Title,skill.info_title,스킬 정보
Main,Canvas/Skill/SafeArea/Skills/Scroll View/Viewport/Content/Image (1)/Skill/GameObject (1)/Text (TMP),skill.name.wolf_pack,늑대 무리
Main,Canvas/Skill/SafeArea/Skills/Scroll View/Viewport/Content/Image (1)/Skill/GameObject (2)/Text (TMP),skill.name.shield_sweep,방패 휩쓸기
Main,Canvas/Skill/SafeArea/Skills/Scroll View/Viewport/Content/Image (1)/Skill/GameObject (3)/Text (TMP),skill.name.blood_cleave,피의 절단
Main,Canvas/Skill/SafeArea/Skills/Scroll View/Viewport/Content/Image (1)/Skill/GameObject/Text (TMP),skill.name.whirlwind,소용돌이
Main,Canvas/Skill/SafeArea/Skills/Scroll View/Viewport/Content/Image (1)/TOP/Text (TMP),skill.section.2,2구간
Main,Canvas/Skill/SafeArea/Skills/Scroll View/Viewport/Content/Image (1)/TOP/Text (TMP) (1),skill.pick_one,1개 선택
Main,Canvas/Skill/SafeArea/Skills/Scroll View/Viewport/Content/Image (2)/Skill/GameObject (1)/Text (TMP),skill.name.predator_roar,포식자의 함성
Main,Canvas/Skill/SafeArea/Skills/Scroll View/Viewport/Content/Image (2)/Skill/GameObject (2)/Text (TMP),skill.name.shield_formation,방패 진형
Main,Canvas/Skill/SafeArea/Skills/Scroll View/Viewport/Content/Image (2)/Skill/GameObject (3)/Text (TMP),skill.name.blood_thirst,피의 갈증
Main,Canvas/Skill/SafeArea/Skills/Scroll View/Viewport/Content/Image (2)/Skill/GameObject/Text (TMP),skill.name.iron_skin,강철 피부
Main,Canvas/Skill/SafeArea/Skills/Scroll View/Viewport/Content/Image (2)/TOP/Text (TMP),skill.section.3,3구간
Main,Canvas/Skill/SafeArea/Skills/Scroll View/Viewport/Content/Image (2)/TOP/Text (TMP) (1),skill.pick_one,1개 선택
Main,Canvas/Skill/SafeArea/Skills/Scroll View/Viewport/Content/Image (3)/Skill/GameObject (1)/Text (TMP),skill.name.great_bear_call,큰곰의 부름
Main,Canvas/Skill/SafeArea/Skills/Scroll View/Viewport/Content/Image (3)/Skill/GameObject (2)/Text (TMP),skill.name.shield_charge,방패 돌진
Main,Canvas/Skill/SafeArea/Skills/Scroll View/Viewport/Content/Image (3)/Skill/GameObject (3)/Text (TMP),skill.name.chain_harpoon,사슬 작살
Main,Canvas/Skill/SafeArea/Skills/Scroll View/Viewport/Content/Image (3)/Skill/GameObject/Text (TMP),skill.name.leap_assault,도약 강습
Main,Canvas/Skill/SafeArea/Skills/Scroll View/Viewport/Content/Image (3)/TOP/Text (TMP),skill.section.4,4구간
Main,Canvas/Skill/SafeArea/Skills/Scroll View/Viewport/Content/Image (3)/TOP/Text (TMP) (1),skill.pick_one,1개 선택
Main,Canvas/Skill/SafeArea/Skills/Scroll View/Viewport/Content/Image (4)/Skill/GameObject (1)/Text (TMP),skill.name.beast_legion,야수 군단
Main,Canvas/Skill/SafeArea/Skills/Scroll View/Viewport/Content/Image (4)/Skill/GameObject (2)/Text (TMP),skill.name.indomitable_fortress,불굴의 성채
Main,Canvas/Skill/SafeArea/Skills/Scroll View/Viewport/Content/Image (4)/Skill/GameObject (3)/Text (TMP),skill.name.earth_shatter,대지 파쇄
Main,Canvas/Skill/SafeArea/Skills/Scroll View/Viewport/Content/Image (4)/Skill/GameObject/Text (TMP),skill.name.storm_whirlwind,폭풍의 소용돌이
Main,Canvas/Skill/SafeArea/Skills/Scroll View/Viewport/Content/Image (4)/TOP/Text (TMP),skill.section.5,5구간
Main,Canvas/Skill/SafeArea/Skills/Scroll View/Viewport/Content/Image (4)/TOP/Text (TMP) (1),skill.pick_one,1개 선택
Main,Canvas/Skill/SafeArea/Skills/Scroll View/Viewport/Content/Image/Skill/GameObject (1)/Text (TMP),skill.name.beast_claw,맹수의 발톱
Main,Canvas/Skill/SafeArea/Skills/Scroll View/Viewport/Content/Image/Skill/GameObject (2)/Text (TMP),skill.name.shield_bash,방패 가격
Main,Canvas/Skill/SafeArea/Skills/Scroll View/Viewport/Content/Image/Skill/GameObject (3)/Text (TMP),skill.name.executioner_strike,처형자의 일격
Main,Canvas/Skill/SafeArea/Skills/Scroll View/Viewport/Content/Image/Skill/GameObject/Text (TMP),skill.name.starlight_blade,별빛 검무
Main,Canvas/Skill/SafeArea/Skills/Scroll View/Viewport/Content/Image/TOP/Text (TMP),skill.section.1,1구간
Main,Canvas/Skill/SafeArea/Skills/Scroll View/Viewport/Content/Image/TOP/Text (TMP) (1),skill.pick_one,1개 선택
Select,Canvas/SafeArea/Equipment/SafeArea/CharacterInfo/Grid/Status (1)/Text (TMP),charstat.survival,생존력
Select,Canvas/SafeArea/Equipment/SafeArea/CharacterInfo/Grid/Status (2)/Text (TMP),charstat.defense,방어력
Select,Canvas/SafeArea/Equipment/SafeArea/CharacterInfo/Grid/Status (3)/Text (TMP),charstat.mobility,기동성
Select,Canvas/SafeArea/Equipment/SafeArea/CharacterInfo/Grid/Status (4)/Text (TMP),charstat.critical,치명타
Select,Canvas/SafeArea/Equipment/SafeArea/CharacterInfo/Grid/Status (5)/Text (TMP),charstat.aoe,광역
Select,Canvas/SafeArea/Equipment/SafeArea/CharacterInfo/Grid/Status/Text (TMP),charstat.attack,공격력
Select,Canvas/SafeArea/Equipment/SafeArea/CharacterInfo/Horizontal (3)/Image/Text (TMP),character.tag.ranged_dealer,원거리 딜러
Select,Canvas/SafeArea/Equipment/SafeArea/DECO/Horizontal/Title,select.title,영웅 선택
Select,Canvas/SafeArea/Equipment/SafeArea/DECO/Title (1),select.subtitle,함께 모험을 시작할 영웅을 선택하세요
Select,Canvas/SafeArea/Equipment/SafeArea/NameInput/Horizontal (1)/Title,select.name.label,캐릭터 이름
Select,Canvas/SafeArea/Equipment/SafeArea/StartBtn/Text (TMP),select.start,모험 시작
Select,Canvas/SafeArea/Equipment/SafeArea/StartBtn/Title,select.start_notice,선택한 영웅과 이름은 게임 시작 후 변경할 수 없습니다.
Select,Canvas/SafeArea/Equipment/UserInfo/InfoPanel/DECO/Horizontal/Title,select.detail_stats,상세 능력치
Select,Canvas/SafeArea/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Attack/Grid/Stat (1)/Title,stat.critical_damage,치명타 피해
Select,Canvas/SafeArea/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Attack/Grid/Stat (2)/Title,stat.attack_speed,공격 속도
Select,Canvas/SafeArea/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Attack/Grid/Stat (3)/Title,stat.cooldown_reduction,재사용 대기시간 감소
Select,Canvas/SafeArea/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Attack/Grid/Stat (4)/Title,stat.skill_damage,스킬 피해
Select,Canvas/SafeArea/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Attack/Grid/Stat (5)/Title,stat.armor_penetration,방어구 관통
Select,Canvas/SafeArea/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Attack/Grid/Stat/Title,stat.critical_chance,치명타 확률
Select,Canvas/SafeArea/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Attack/Horizontal/Title,stat.group.offense,공격
Select,Canvas/SafeArea/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Defense/Deco,stat.cap_notice,상한 75%
Select,Canvas/SafeArea/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Defense/Horizontal/Title,stat.group.defense,저항
Select,Canvas/SafeArea/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Main/Grid/Stat (1)/Title,stat.defense,방어력
Select,Canvas/SafeArea/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Main/Grid/Stat (2)/Title,stat.max_health,최대 체력
Select,Canvas/SafeArea/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Main/Grid/Stat (3)/Title,stat.max_mana,최대 마나
Select,Canvas/SafeArea/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Main/Grid/Stat/Title,stat.attack_power,공격력
Select,Canvas/SafeArea/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Main/Horizontal/Title,stat.group.core,핵심
Select,Canvas/SafeArea/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Other/Grid/Stat (1)/Title,stat.gold_find,재화 발견
Select,Canvas/SafeArea/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Other/Grid/Stat (2)/Title,stat.movement_speed,이동 속도
Select,Canvas/SafeArea/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Other/Grid/Stat (3)/Title,stat.magic_find,아이템 발견
Select,Canvas/SafeArea/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Other/Grid/Stat/Title,stat.mana_regeneration,마나 재생
Select,Canvas/SafeArea/Equipment/UserInfo/InfoPanel/Scroll View/Viewport/Content/Other/Horizontal/Title,stat.group.utility,자원 및 탐색
Title,Canvas/Title/Login/Text (TMP),title.login.no_data,"저장된 데이터가 없습니다.
로그인 방법을 선택해주세요."
Title,Canvas/Title/Login/Vertical/GoogleBtn/Text (TMP),title.login.google,Google로 로그인
Title,Canvas/Title/Login/Vertical/GuestBtn/Text (TMP) (1),title.login.guest,Guest로 로그인
Title,Canvas/Title/TapToStart/Text,title.tap_to_start,Tap To Start
Main,Canvas/Shop/BackGround/SafeArea/Main/Scroll View/Viewport/Content/Banner/~Badge/~Text,shop.featured.badge,추천
Main,Canvas/Shop/BackGround/SafeArea/Main/Scroll View/Viewport/Content/Banner/~Title,shop.featured.title,모험 준비 패키지
Main,Canvas/Shop/BackGround/SafeArea/Main/Scroll View/Viewport/Content/Banner/~Desc,shop.featured.desc,모험에 필요한 것을 한 번에
Main,Canvas/Shop/BackGround/SafeArea/Main/Scroll View/Viewport/Content/Banner/~Limit,shop.featured.limit,1회 한정
Main,Canvas/Shop/BackGround/SafeArea/Main/Scroll View/Viewport/Content/DailyFree/~Title,shop.daily.title,매일 무료 상품
Main,Canvas/Shop/BackGround/SafeArea/Main/Scroll View/Viewport/Content/DailyFree/~Desc,shop.daily.desc,하루 한 번 무료로 받으세요
Main,Canvas/Shop/BackGround/SafeArea/Main/Scroll View/Viewport/Content/DailyFree/~ClaimBtn/~Text,shop.daily.claim,무료 받기
Main,Canvas/Shop/BackGround/SafeArea/Main/Scroll View/Viewport/Content/Grid/Card_equipment_chest/~Name,shop.item.equipment_chest,장비 상자
Main,Canvas/Shop/BackGround/SafeArea/Main/Scroll View/Viewport/Content/Grid/Card_equipment_chest/~Desc,shop.item.equipment_chest.desc,여러 등급의 장비를 얻습니다
Main,Canvas/Shop/BackGround/SafeArea/Main/Scroll View/Viewport/Content/Grid/Card_gem_bundle/~Name,shop.item.gem_bundle,보석 묶음
Main,Canvas/Shop/BackGround/SafeArea/Main/Scroll View/Viewport/Content/Grid/Card_gem_bundle/~Desc,shop.item.gem_bundle.desc,보석을 한 번에 넉넉히 받습니다
Main,Canvas/Shop/BackGround/SafeArea/Main/Scroll View/Viewport/Content/Grid/Card_growth_elixir/~Name,shop.item.growth_elixir,성장의 비약
Main,Canvas/Shop/BackGround/SafeArea/Main/Scroll View/Viewport/Content/Grid/Card_growth_elixir/~Desc,shop.item.growth_elixir.desc,경험치를 크게 올려 줍니다
Main,Canvas/Shop/BackGround/SafeArea/Main/Scroll View/Viewport/Content/Grid/Card_skill_book/~Name,shop.item.skill_book,스킬의 서
Main,Canvas/Shop/BackGround/SafeArea/Main/Scroll View/Viewport/Content/Grid/Card_skill_book/~Desc,shop.item.skill_book.desc,스킬을 올릴 때 쓰는 재료입니다
Main,Canvas/Shop/BackGround/SafeArea/Main/Scroll View/Viewport/Content/Grid/Card_dungeon_ticket/~Name,shop.item.dungeon_ticket,던전 입장권
Main,Canvas/Shop/BackGround/SafeArea/Main/Scroll View/Viewport/Content/Grid/Card_dungeon_ticket/~Desc,shop.item.dungeon_ticket.desc,던전에 한 번 더 들어갑니다
Main,Canvas/Shop/BackGround/SafeArea/Main/Scroll View/Viewport/Content/Grid/Card_exp_booster/~Name,shop.item.exp_booster,경험치 부스터
Main,Canvas/Shop/BackGround/SafeArea/Main/Scroll View/Viewport/Content/Grid/Card_exp_booster/~Desc,shop.item.exp_booster.desc,한동안 경험치가 더 들어옵니다
Main,Canvas/Shop/BackGround/SafeArea/Main/Scroll View/Viewport/Content/Row_gold_pouch/~Name,shop.item.gold_pouch,골드 주머니
Main,Canvas/Shop/BackGround/SafeArea/Main/Scroll View/Viewport/Content/Row_gold_pouch/~Desc,shop.item.gold_pouch.desc,골드를 넉넉히 채워 줍니다
Main,Canvas/Shop/BackGround/SafeArea/Main/Scroll View/Viewport/Content/Row_summon_key/~Name,shop.item.summon_key,소환의 열쇠
Main,Canvas/Shop/BackGround/SafeArea/Main/Scroll View/Viewport/Content/Row_summon_key/~Desc,shop.item.summon_key.desc,소환을 열 번 돌릴 수 있습니다
Main,Canvas/Shop/BackGround/SafeArea/Main/Scroll View/Viewport/Content/Row_upgrade_kit/~Name,shop.item.upgrade_kit,강화 재료 묶음
Main,Canvas/Shop/BackGround/SafeArea/Main/Scroll View/Viewport/Content/Row_upgrade_kit/~Desc,shop.item.upgrade_kit.desc,장비를 올릴 때 쓰는 재료입니다
Main,Canvas/Shop/BackGround/SafeArea/Main/Scroll View/Viewport/Content/Row_mana_set/~Name,shop.item.mana_set,마나 물약 세트
Main,Canvas/Shop/BackGround/SafeArea/Main/Scroll View/Viewport/Content/Row_mana_set/~Desc,shop.item.mana_set.desc,싸우는 동안 마나를 채워 줍니다
